n_bet,gain_rate,best,rank
1,-0.056264,1,1.0
2,-0.057713,0,3.0
3,-0.066338,0,48.0
4,-0.070363,0,49.0
5,-0.0568712,0,2.0
6,-0.061255,0,27.0
7,-0.061639428571428574,0,35.0
8,-0.06001875,0,6.0
9,-0.06343488888888889,0,46.0
10,-0.058564,0,5.0
11,-0.058246181818181815,0,4.0
12,-0.0623475,0,42.0
13,-0.060885230769230775,0,16.0
14,-0.06305557142857142,0,45.0
15,-0.061658266666666676,0,36.0
16,-0.060372375,0,10.0
17,-0.064636,0,47.0
18,-0.06032222222222223,0,8.0
19,-0.06189536842105262,0,39.0
20,-0.0606409,0,13.0
21,-0.060285714285714276,0,7.0
22,-0.06158327272727272,0,31.0
23,-0.06103400000000001,0,20.0
24,-0.061285666666666676,0,28.0
25,-0.0621612,0,41.0
26,-0.061612384615384624,0,33.0
27,-0.06195266666666668,0,40.0
28,-0.06270892857142857,0,44.0
29,-0.060419862068965526,0,11.0
30,-0.062498533333333335,0,43.0
31,-0.061623741935483874,0,34.0
32,-0.0603235,0,9.0
33,-0.06159721212121212,0,32.0
34,-0.06148500000000001,0,30.0
35,-0.0617012,0,38.0
36,-0.06130355555555556,0,29.0
37,-0.0610305945945946,0,19.0
38,-0.06068242105263157,0,14.0
39,-0.06103620512820512,0,21.0
40,-0.06112965,0,24.0
41,-0.06047356097560976,0,12.0
42,-0.06069533333333332,0,15.0
43,-0.061117534883720924,0,23.0
44,-0.061677363636363634,0,37.0
45,-0.06088751111111111,0,17.0
46,-0.061197,0,25.0
47,-0.06104017021276596,0,22.0
48,-0.060897541666666666,0,18.0
49,-0.061224489795918366,0,26.0
